Date,City,Country,Venue,Url
27 May 1972,Amsterdam,Netherlands,Oude Rai,https://en.wikipedia.org/wiki/Amsterdam_RAI_Exhibition_and_Convention_Centre
28 May 1972,Brussels,Belgium,Forest National,https://en.wikipedia.org/wiki/Forest_National
6 June 1972,Detroit,United States,Cobo Hall,https://en.wikipedia.org/wiki/Cobo_Hall
7 June 1972,Montreal,Canada,Montreal Forum,https://en.wikipedia.org/wiki/Montreal_Forum
8 June 1972,Boston,United States,Boston Garden,https://en.wikipedia.org/wiki/Boston_Garden
9 June 1972,Charlotte,United States,Charlotte Coliseum,https://en.wikipedia.org/wiki/Bojangles%27_Coliseum
10 June 1972,Buffalo,United States,Buffalo Memorial Auditorium,https://en.wikipedia.org/wiki/Buffalo_Memorial_Auditorium
11 June 1972,Baltimore,United States,Baltimore Civic Center,https://en.wikipedia.org/wiki/Baltimore_Civic_Center
13 June 1972,Philadelphia,United States,The Spectrum,https://en.wikipedia.org/wiki/Spectrum_(arena)
14 June 1972,New York,United States,Nassau Coliseum,https://en.wikipedia.org/wiki/Nassau_Coliseum
15 June 1972,New York,United States,Nassau Coliseum,https://en.wikipedia.org/wiki/Nassau_Coliseum
16 June 1972,Worcester,United States,Worcester Memorial Auditorium,https://en.wikipedia.org/wiki/Worcester_Memorial_Auditorium
17 June 1972,Portland,United States,Memorial Coliseum,https://en.wikipedia.org/wiki/Memorial_Coliseum_(Portland)
18 June 1972,Seattle,United States,Seattle Center Coliseum,https://en.wikipedia.org/wiki/Seattle_Center_Coliseum
19 June 1972,Seattle,United States,Seattle Center Coliseum,https://en.wikipedia.org/wiki/Seattle_Center_Coliseum
21 June 1972,Denver,United States,Denver Coliseum,https://en.wikipedia.org/wiki/Denver_Coliseum
22 June 1972,San Bernardino,United States,Swing Auditorium,https://en.wikipedia.org/wiki/Swing_Auditorium
23 June 1972,San Diego,United States,San Diego Sports Arena,https://en.wikipedia.org/wiki/San_Diego_Sports_Arena
24 June 1972,Berkeley,United States,Berkeley Community Theater,https://en.wikipedia.org/wiki/Berkeley_Community_Theatre
25 June 1972,Inglewood,United States,The Forum,"https://en.wikipedia.org/wiki/The_Forum_(Inglewood,_California)"
27 June 1972,Long Beach,United States,Long Beach Arena,https://en.wikipedia.org/wiki/Long_Beach_Arena
28 June 1972,Tucson,United States,Tucson Community Center,https://en.wikipedia.org/wiki/Tucson_Community_Center
